Данные были взяты с mangalib.org;;;;;;
Дата взятия: 27.02.26;;;;;;Таблица 1
Манга;Жанр;Статус производства;Статус перевода;Год выпуска;Главы;Средняя оценка
Ванпанчмен;Сэйнэн;Онгоинг;Онгоинг;2012;306;9,62
Очаровательный цветок расцветает с достоинством;Сёдзё;Онгоинг;Онгоинг;2021;191;9,65
Я распродал свою жизнь. По десять тысяч йен в год.;Сэйнэн;Завершён;Завершён;2016;19;9,60
Магическая битва;Сёнэн;Завершён;Завершён;2018;276;8,97
Великий из Бродячих Псов;Сэйнэн;Онгоинг;Онгоинг;2012;148;9,62
Человек-бензопила;Сёнэн;Завершён;Завершён;2018;107;9,44
Бродяга;Сэйнэн;Приостановлен;Заморожен;1998;328;9,79
Евангелион;Сёнэн;Завершён;Завершён;1994;102;9,40
